,protein_id,namespace,phage_id,description,isPhage,struc_cluster_id,struc_cluster_size
3884,NP_416545.1,biological_process,NC_000913.3,"dTDP-glucose 4,6-dehydratase 1",False,258,63
3886,QXV78343.1,biological_process,MZ501063,"putative dTDP-D-glucose 4,6-dehydratase",True,258,63
9787,NP_415271.1,biological_process,NC_000913.3,quinolinate synthase,False,258,63
7085,NP_049658.1,biological_process,NC_000866.4,beta-glucosyltransferase,True,258,63
9283,NP_416556.1,biological_process,NC_000913.3,GDP-L-fucose synthase,False,258,63
4081,NP_414807.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgF,False,258,63
4080,NP_418666.1,biological_process,NC_000913.3,aspartate carbamoyltransferase catalytic subunit,False,258,63
4079,NP_418675.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgI,False,258,63
4078,YP_026185.1,biological_process,NC_000913.3,putative carbamoyltransferase YgeW,False,258,63
4077,NP_414807.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgF,False,258,63
4076,NP_418666.1,biological_process,NC_000913.3,aspartate carbamoyltransferase catalytic subunit,False,258,63
4075,NP_418675.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgI,False,258,63
8167,NP_414615.4,molecular_function,NC_000913.3,3-isopropylmalate dehydrogenase,False,258,63
3062,NP_414632.1,biological_process,NC_000913.3,N-acetylglucosaminyl transferase,False,258,63
1664,NP_418666.1,biological_process,NC_000913.3,aspartate carbamoyltransferase catalytic subunit,False,258,63
9152,NP_414807.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgF,False,258,63
9151,NP_418675.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgI,False,258,63
711,NP_417101.1,biological_process,NC_000913.3,signal recognition particle protein component,False,258,63
8955,NP_415271.1,molecular_function,NC_000913.3,quinolinate synthase,False,258,63
8166,NP_415654.1,molecular_function,NC_000913.3,isocitrate dehydrogenase,False,258,63
8165,NP_416314.1,molecular_function,NC_000913.3,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),False,258,63
10316,NP_417101.1,biological_process,NC_000913.3,signal recognition particle protein component,False,258,63
10321,NP_418675.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgI,False,258,63
3141,NP_414615.4,biological_process,NC_000913.3,3-isopropylmalate dehydrogenase,False,258,63
3147,NP_415654.1,biological_process,NC_000913.3,isocitrate dehydrogenase,False,258,63
5209,YP_026257.1,biological_process,NC_000913.3,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase,False,258,63
1900,NP_418675.1,molecular_function,NC_000913.3,ornithine carbamoyltransferase ArgI,False,258,63
1901,NP_414807.1,molecular_function,NC_000913.3,ornithine carbamoyltransferase ArgF,False,258,63
4082,YP_026185.1,biological_process,NC_000913.3,putative carbamoyltransferase YgeW,False,258,63
7812,NP_418026.1,biological_process,NC_000913.3,DNA-binding transcriptional dual regulator XylR,False,258,63
4304,NP_416557.1,biological_process,NC_000913.3,"GDP-mannose 4,6-dehydratase",False,258,63
7835,NP_418026.1,biological_process,NC_000913.3,DNA-binding transcriptional dual regulator XylR,False,258,63
6096,NP_415608.2,biological_process,NC_000913.3,putative phosphate acyltransferase,False,258,63
1103,NP_416554.1,molecular_function,NC_000913.3,colanic acid biosynthesis fucosyltransferase WcaI,False,258,63
1102,NP_416536.1,molecular_function,NC_000913.3,putative glycosyltransferase WbbK,False,258,63
1100,NP_418090.1,molecular_function,NC_000913.3,KDO transferase,False,258,63
1098,NP_418088.1,molecular_function,NC_000913.3,lipopolysaccharide glucosyltransferase I,False,258,63
6066,NP_416953.1,molecular_function,NC_000913.3,phosphate acetyltransferase EutD,False,258,63
3939,NP_414632.1,molecular_function,NC_000913.3,N-acetylglucosaminyl transferase,False,258,63
8765,NP_417101.1,biological_process,NC_000913.3,signal recognition particle protein component,False,258,63
4085,NP_414807.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgF,False,258,63
4086,YP_026185.1,biological_process,NC_000913.3,putative carbamoyltransferase YgeW,False,258,63
4083,NP_418675.1,biological_process,NC_000913.3,ornithine carbamoyltransferase ArgI,False,258,63
6654,NP_414715.1,molecular_function,NC_000913.3,1-deoxy-D-xylulose 5-phosphate reductoisomerase,False,258,63
6626,NP_414715.1,molecular_function,NC_000913.3,1-deoxy-D-xylulose 5-phosphate reductoisomerase,False,258,63
9428,YP_026253.1,biological_process,NC_000913.3,UDP-N-acetylglucosamine 2-epimerase,False,258,63
4084,NP_418666.1,biological_process,NC_000913.3,aspartate carbamoyltransferase catalytic subunit,False,258,63
3184,NP_414757.1,molecular_function,NC_000913.3,D-sedoheptulose 7-phosphate isomerase,False,319,4
1135,NP_414757.1,biological_process,NC_000913.3,D-sedoheptulose 7-phosphate isomerase,False,319,4
1134,NP_417618.1,biological_process,NC_000913.3,DnaA initiator-associating protein DiaA,False,319,4
1129,QXV76992.1,biological_process,MZ501056,putative phosphosugar isomerase,True,319,4
1128,QXV75158.1,biological_process,MZ501047,putative phosphosugar isomerase,True,319,4
10982,QXV75158.1,biological_process,MZ501047,putative phosphosugar isomerase,True,319,4
10983,QXV76992.1,biological_process,MZ501056,putative phosphosugar isomerase,True,319,4
10988,NP_417618.1,biological_process,NC_000913.3,DnaA initiator-associating protein DiaA,False,319,4
10989,NP_414757.1,biological_process,NC_000913.3,D-sedoheptulose 7-phosphate isomerase,False,319,4
4052,NP_415892.1,biological_process,NC_000913.3,putative site-specific recombinase,False,373,5
4051,NP_415676.1,biological_process,NC_000913.3,site-specific DNA recombinase,False,373,5
4053,NP_416063.1,biological_process,NC_000913.3,putative recombinase PinQ,False,373,5
4062,YP_006499.1,biological_process,NC_005856.1,DNA invertase,True,373,5
9916,YP_006499.1,biological_process,NC_005856.1,DNA invertase,True,373,5
9913,NP_416063.1,biological_process,NC_000913.3,putative recombinase PinQ,False,373,5
9910,NP_415892.1,biological_process,NC_000913.3,putative site-specific recombinase,False,373,5
9908,NP_415676.1,biological_process,NC_000913.3,site-specific DNA recombinase,False,373,5
4054,YP_006499.1,biological_process,NC_005856.1,DNA invertase,True,373,5
4055,NP_415676.1,biological_process,NC_000913.3,site-specific DNA recombinase,False,373,5
4056,NP_415892.1,biological_process,NC_000913.3,putative site-specific recombinase,False,373,5
4059,NP_416063.1,biological_process,NC_000913.3,putative recombinase PinQ,False,373,5
4066,YP_006499.1,biological_process,NC_005856.1,DNA invertase,True,373,5
4065,NP_416063.1,biological_process,NC_000913.3,putative recombinase PinQ,False,373,5
4063,NP_415676.1,biological_process,NC_000913.3,site-specific DNA recombinase,False,373,5
4064,NP_415892.1,biological_process,NC_000913.3,putative site-specific recombinase,False,373,5
1040,QXV83145.1,biological_process,MZ501096,type II topoisomerase large subunit,True,412,17
8076,NP_417502.1,biological_process,NC_000913.3,DNA topoisomerase IV subunit B,False,412,17
1041,AYD82600.1,biological_process,MH751506.1,DNA topoisomerase II large subunit,True,412,17
8075,QXV76948.1,biological_process,MZ501056,type II topoisomerase large subunit,True,412,17
8073,QXV79103.1,biological_process,MZ501067,type II topoisomerase large subunit,True,412,17
8074,QXV85951.1,biological_process,MZ501113,type II topoisomerase large subunit,True,412,17
1039,QXV78825.1,biological_process,MZ501066,type II topoisomerase large subunit,True,412,17
8072,QXV83479.1,biological_process,MZ501098,type II topoisomerase large subunit,True,412,17
8069,QXV75111.1,biological_process,MZ501047,type II topoisomerase large subunit,True,412,17
8068,QXV78554.1,biological_process,MZ501065,type II topoisomerase large subunit,True,412,17
1042,QXV78554.1,biological_process,MZ501065,type II topoisomerase large subunit,True,412,17
1038,QXV82095.1,biological_process,MZ501089,type II topoisomerase large subunit,True,412,17
1034,QXV75390.1,biological_process,MZ501046,type II topoisomerase large subunit,True,412,17
8157,NP_415006.1,biological_process,NC_000913.3,chaperone protein HtpG,False,412,17
1037,QXV84852.1,biological_process,MZ501106,type II topoisomerase large subunit,True,412,17
1036,QXV75966.1,biological_process,MZ501050,type II topoisomerase large subunit,True,412,17
1035,QXV76326.1,biological_process,MZ501052,type II topoisomerase large subunit,True,412,17
8067,AYD82600.1,biological_process,MH751506.1,DNA topoisomerase II large subunit,True,412,17
1047,QXV79103.1,biological_process,MZ501067,type II topoisomerase large subunit,True,412,17
1048,QXV85951.1,biological_process,MZ501113,type II topoisomerase large subunit,True,412,17
1049,QXV76948.1,biological_process,MZ501056,type II topoisomerase large subunit,True,412,17
1050,NP_417502.1,biological_process,NC_000913.3,DNA topoisomerase IV subunit B,False,412,17
1051,AXN58044.1,biological_process,MH550421.1,DNA topoisomerase II large subunit,True,412,17
1153,NP_415006.1,biological_process,NC_000913.3,chaperone protein HtpG,False,412,17
8077,AXN58044.1,biological_process,MH550421.1,DNA topoisomerase II large subunit,True,412,17
8066,QXV83145.1,biological_process,MZ501096,type II topoisomerase large subunit,True,412,17
1046,QXV83479.1,biological_process,MZ501098,type II topoisomerase large subunit,True,412,17
8064,QXV82095.1,biological_process,MZ501089,type II topoisomerase large subunit,True,412,17
6711,AYD82600.1,biological_process,MH751506.1,DNA topoisomerase II large subunit,True,412,17
6712,QXV78554.1,biological_process,MZ501065,type II topoisomerase large subunit,True,412,17
6713,QXV75111.1,biological_process,MZ501047,type II topoisomerase large subunit,True,412,17
6716,QXV83479.1,biological_process,MZ501098,type II topoisomerase large subunit,True,412,17
6717,QXV79103.1,biological_process,MZ501067,type II topoisomerase large subunit,True,412,17
6718,QXV85951.1,biological_process,MZ501113,type II topoisomerase large subunit,True,412,17
6719,QXV76948.1,biological_process,MZ501056,type II topoisomerase large subunit,True,412,17
6720,NP_417502.1,biological_process,NC_000913.3,DNA topoisomerase IV subunit B,False,412,17
6721,AXN58044.1,biological_process,MH550421.1,DNA topoisomerase II large subunit,True,412,17
8065,QXV78825.1,biological_process,MZ501066,type II topoisomerase large subunit,True,412,17
6725,QXV76326.1,molecular_function,MZ501052,type II topoisomerase large subunit,True,412,17
6726,QXV75966.1,molecular_function,MZ501050,type II topoisomerase large subunit,True,412,17
6727,QXV84852.1,molecular_function,MZ501106,type II topoisomerase large subunit,True,412,17
6728,QXV82095.1,molecular_function,MZ501089,type II topoisomerase large subunit,True,412,17
6729,QXV78825.1,molecular_function,MZ501066,type II topoisomerase large subunit,True,412,17
6730,QXV83145.1,molecular_function,MZ501096,type II topoisomerase large subunit,True,412,17
6736,AYD82600.1,molecular_function,MH751506.1,DNA topoisomerase II large subunit,True,412,17
6737,QXV78554.1,molecular_function,MZ501065,type II topoisomerase large subunit,True,412,17
6739,QXV75111.1,molecular_function,MZ501047,type II topoisomerase large subunit,True,412,17
6710,QXV83145.1,biological_process,MZ501096,type II topoisomerase large subunit,True,412,17
6709,QXV78825.1,biological_process,MZ501066,type II topoisomerase large subunit,True,412,17
6708,QXV82095.1,biological_process,MZ501089,type II topoisomerase large subunit,True,412,17
6707,QXV84852.1,biological_process,MZ501106,type II topoisomerase large subunit,True,412,17
1899,NP_417502.1,biological_process,NC_000913.3,DNA topoisomerase IV subunit B,False,412,17
6563,QXV75390.1,biological_process,MZ501046,type II topoisomerase large subunit,True,412,17
6564,QXV76326.1,biological_process,MZ501052,type II topoisomerase large subunit,True,412,17
6565,QXV75966.1,biological_process,MZ501050,type II topoisomerase large subunit,True,412,17
6566,QXV84852.1,biological_process,MZ501106,type II topoisomerase large subunit,True,412,17
6567,QXV82095.1,biological_process,MZ501089,type II topoisomerase large subunit,True,412,17
6568,QXV78825.1,biological_process,MZ501066,type II topoisomerase large subunit,True,412,17
6569,QXV83145.1,biological_process,MZ501096,type II topoisomerase large subunit,True,412,17
6570,AYD82600.1,biological_process,MH751506.1,DNA topoisomerase II large subunit,True,412,17
6742,QXV83479.1,molecular_function,MZ501098,type II topoisomerase large subunit,True,412,17
6571,QXV78554.1,biological_process,MZ501065,type II topoisomerase large subunit,True,412,17
6575,QXV83479.1,biological_process,MZ501098,type II topoisomerase large subunit,True,412,17
6576,QXV79103.1,biological_process,MZ501067,type II topoisomerase large subunit,True,412,17
6577,QXV85951.1,biological_process,MZ501113,type II topoisomerase large subunit,True,412,17
6578,QXV76948.1,biological_process,MZ501056,type II topoisomerase large subunit,True,412,17
6579,NP_417502.1,biological_process,NC_000913.3,DNA topoisomerase IV subunit B,False,412,17
6580,AXN58044.1,biological_process,MH550421.1,DNA topoisomerase II large subunit,True,412,17
6704,QXV75390.1,biological_process,MZ501046,type II topoisomerase large subunit,True,412,17
6705,QXV76326.1,biological_process,MZ501052,type II topoisomerase large subunit,True,412,17
6706,QXV75966.1,biological_process,MZ501050,type II topoisomerase large subunit,True,412,17
6572,QXV75111.1,biological_process,MZ501047,type II topoisomerase large subunit,True,412,17
6743,QXV79103.1,molecular_function,MZ501067,type II topoisomerase large subunit,True,412,17
6724,QXV75390.1,molecular_function,MZ501046,type II topoisomerase large subunit,True,412,17
6746,QXV76948.1,molecular_function,MZ501056,type II topoisomerase large subunit,True,412,17
6744,QXV85951.1,molecular_function,MZ501113,type II topoisomerase large subunit,True,412,17
1043,QXV75111.1,biological_process,MZ501047,type II topoisomerase large subunit,True,412,17
8060,QXV75390.1,biological_process,MZ501046,type II topoisomerase large subunit,True,412,17
8062,QXV75966.1,biological_process,MZ501050,type II topoisomerase large subunit,True,412,17
3747,NP_417502.1,biological_process,NC_000913.3,DNA topoisomerase IV subunit B,False,412,17
8061,QXV76326.1,biological_process,MZ501052,type II topoisomerase large subunit,True,412,17
8063,QXV84852.1,biological_process,MZ501106,type II topoisomerase large subunit,True,412,17
6754,NP_417502.1,molecular_function,NC_000913.3,DNA topoisomerase IV subunit B,False,412,17
6756,AXN58044.1,molecular_function,MH550421.1,DNA topoisomerase II large subunit,True,412,17
1861,NP_418304.1,molecular_function,NC_000913.3,DNA-binding transcriptional dual regulator NtrC,False,527,17
4399,NP_415356.1,molecular_function,NC_000913.3,ribosomal protein S12 methylthiotransferase RimO,False,527,17
1658,NP_418304.1,biological_process,NC_000913.3,DNA-binding transcriptional dual regulator NtrC,False,527,17
1656,NP_417049.1,biological_process,NC_000913.3,DNA-binding transcriptional activator GlrR,False,527,17
1655,NP_414864.1,biological_process,NC_000913.3,DNA-binding transcriptional dual regulator PrpR,False,527,17
1654,NP_418432.1,biological_process,NC_000913.3,DNA-binding transcriptional activator ZraR,False,527,17
1651,NP_417880.1,biological_process,NC_000913.3,DNA-binding transcriptional activator RtcR,False,527,17
1626,NP_418788.1,biological_process,NC_000913.3,16S rRNA m(2)G1207 methyltransferase,False,527,17
1620,NP_417555.4,biological_process,NC_000913.3,23S rRNA m(2)G1835 methyltransferase,False,527,17
5256,NP_418304.1,biological_process,NC_000913.3,DNA-binding transcriptional dual regulator NtrC,False,527,17
5334,NP_414864.1,biological_process,NC_000913.3,DNA-binding transcriptional dual regulator PrpR,False,527,17
4335,NP_415194.1,biological_process,NC_000913.3,isopentenyl-adenosine A37 tRNA methylthiolase,False,527,17
11142,NP_418788.1,molecular_function,NC_000913.3,16S rRNA m(2)G1207 methyltransferase,False,527,17
6660,NP_418788.1,biological_process,NC_000913.3,16S rRNA m(2)G1207 methyltransferase,False,527,17
11141,NP_417555.4,molecular_function,NC_000913.3,23S rRNA m(2)G1835 methyltransferase,False,527,17
9171,NP_417002.1,molecular_function,NC_000913.3,GMP synthetase,False,527,17
8964,NP_418788.1,molecular_function,NC_000913.3,16S rRNA m(2)G1207 methyltransferase,False,527,17
6288,NP_414864.1,biological_process,NC_000913.3,DNA-binding transcriptional dual regulator PrpR,False,527,17
1857,NP_418432.1,molecular_function,NC_000913.3,DNA-binding transcriptional activator ZraR,False,527,17
1858,NP_414864.1,molecular_function,NC_000913.3,DNA-binding transcriptional dual regulator PrpR,False,527,17
1864,NP_416724.1,molecular_function,NC_000913.3,DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC,False,527,17
4495,XPK41786.1,molecular_function,PQ850612,DNA helicase,True,527,17
1663,NP_416724.1,biological_process,NC_000913.3,DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC,False,527,17
4815,NP_417555.4,molecular_function,NC_000913.3,23S rRNA m(2)G1835 methyltransferase,False,527,17
6851,NP_415194.1,molecular_function,NC_000913.3,isopentenyl-adenosine A37 tRNA methylthiolase,False,527,17
3632,NP_418448.1,biological_process,NC_000913.3,aspartate kinase III,False,527,17
6852,NP_415356.1,molecular_function,NC_000913.3,ribosomal protein S12 methylthiotransferase RimO,False,527,17
8398,NP_415356.1,molecular_function,NC_000913.3,ribosomal protein S12 methylthiotransferase RimO,False,527,17
8397,NP_415194.1,molecular_function,NC_000913.3,isopentenyl-adenosine A37 tRNA methylthiolase,False,527,17
1323,NP_417002.1,biological_process,NC_000913.3,GMP synthetase,False,527,17
3845,NP_415194.1,biological_process,NC_000913.3,isopentenyl-adenosine A37 tRNA methylthiolase,False,527,17
3846,NP_415356.1,biological_process,NC_000913.3,ribosomal protein S12 methylthiotransferase RimO,False,527,17
4816,NP_418788.1,molecular_function,NC_000913.3,16S rRNA m(2)G1207 methyltransferase,False,527,17
1115,NP_418448.1,biological_process,NC_000913.3,aspartate kinase III,False,527,17
4120,NP_417388.1,molecular_function,NC_000913.3,phosphoglycerate dehydrogenase,False,527,17
4115,NP_417388.1,molecular_function,NC_000913.3,phosphoglycerate dehydrogenase,False,527,17
3847,NP_415356.1,biological_process,NC_000913.3,ribosomal protein S12 methylthiotransferase RimO,False,527,17
4396,NP_415194.1,molecular_function,NC_000913.3,isopentenyl-adenosine A37 tRNA methylthiolase,False,527,17
1381,NP_418432.1,biological_process,NC_000913.3,DNA-binding transcriptional activator ZraR,False,527,17
1384,NP_417049.1,biological_process,NC_000913.3,DNA-binding transcriptional activator GlrR,False,527,17
1391,NP_418304.1,biological_process,NC_000913.3,DNA-binding transcriptional dual regulator NtrC,False,527,17
7780,NP_418448.1,biological_process,NC_000913.3,aspartate kinase III,False,527,17
1406,NP_416724.1,biological_process,NC_000913.3,DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC,False,527,17
4523,XPK41256.1,molecular_function,PQ850606,DNA helicase,True,527,17
8768,NP_417002.1,biological_process,NC_000913.3,GMP synthetase,False,527,17
7579,NP_417880.1,biological_process,NC_000913.3,DNA-binding transcriptional activator RtcR,False,527,17
4620,NP_415194.1,molecular_function,NC_000913.3,isopentenyl-adenosine A37 tRNA methylthiolase,False,527,17
422,NP_418214.2,molecular_function,NC_000913.3,putative magnesium chelatase YifB,False,527,17
4637,NP_415356.1,molecular_function,NC_000913.3,ribosomal protein S12 methylthiotransferase RimO,False,527,17
3358,NP_417002.1,biological_process,NC_000913.3,GMP synthetase,False,527,17
7581,NP_417555.4,biological_process,NC_000913.3,23S rRNA m(2)G1835 methyltransferase,False,527,17
4769,QXV83516.1,biological_process,MZ501098,replicative helicase,True,704,53
4731,YP_006543.1,biological_process,NC_005856.1,DnaB-like replicative helicase,True,704,53
6489,QXV78418.1,molecular_function,MZ501064,DNA primase/helicase,True,704,53
6492,XPK40927.1,molecular_function,PQ850602,DNA primase/helicase,True,704,53
6493,XPK40416.1,molecular_function,PQ850595,DNA primase/helicase,True,704,53
6494,QXV80876.1,molecular_function,MZ501081,DNA primase/helicase,True,704,53
6495,XPK42550.1,molecular_function,PQ850620,DNA primase/helicase,True,704,53
6497,XPK40877.1,molecular_function,PQ850601,DNA primase/helicase,True,704,53
6501,QXV80652.1,molecular_function,MZ501078,DNA primase/helicase,True,704,53
6482,QXV76821.1,molecular_function,MZ501055,DNA primase/helicase,True,704,53
6500,NP_041975.1,molecular_function,NC_001604,DNA primase/helicase,True,704,53
4768,QXV76362.1,biological_process,MZ501052,replicative helicase,True,704,53
4756,XPK40877.1,biological_process,PQ850601,DNA primase/helicase,True,704,53
4766,NP_041975.1,biological_process,NC_001604,DNA primase/helicase,True,704,53
4767,QXV75427.1,biological_process,MZ501046,replicative helicase,True,704,53
4798,QXV80217.1,biological_process,MZ501075,DNA helicase,True,704,53
9922,NP_418476.1,biological_process,NC_000913.3,replicative DNA helicase,False,704,53
9921,YP_006543.1,biological_process,NC_005856.1,DnaB-like replicative helicase,True,704,53
2349,NP_415766.1,biological_process,NC_000913.3,K(+) channel Kch,False,704,53
4796,NP_041977.1,biological_process,NC_001604,DNA primase/helicase,True,704,53
4795,QXV85105.1,biological_process,MZ501108,DNA helicase,True,704,53
4794,QXV79642.1,biological_process,MZ501072,DNA helicase,True,704,53
4792,QXV79142.1,biological_process,MZ501067,replicative helicase,True,704,53
4790,QXV84890.1,biological_process,MZ501106,replicative helicase,True,704,53
4789,QXV76003.1,biological_process,MZ501050,replicative helicase,True,704,53
4788,QXV80389.1,biological_process,MZ501076,DNA helicase,True,704,53
9920,YP_007112588.1,biological_process,NC_019723,DnaB-like replicative helicase,True,704,53
4779,QXV78863.1,biological_process,MZ501066,replicative helicase,True,704,53
4777,QXV80049.1,biological_process,MZ501074,DNA helicase,True,704,53
4776,AXN58080.1,biological_process,MH550421.1,helicase,True,704,53
4764,YP_006543.1,biological_process,NC_005856.1,DnaB-like replicative helicase,True,704,53
4775,QXV84591.1,biological_process,MZ501105,DNA helicase,True,704,53
4762,QXV75147.1,biological_process,MZ501047,replicative helicase,True,704,53
4733,YP_007112588.1,biological_process,NC_019723,DnaB-like replicative helicase,True,704,53
4737,QXV77242.1,biological_process,MZ501058,DNA helicase,True,704,53
4739,QXV84340.1,biological_process,MZ501103,DNA helicase,True,704,53
4740,QXV82132.1,biological_process,MZ501089,replicative helicase,True,704,53
4742,QXV85276.1,biological_process,MZ501109,DNA helicase,True,704,53
4744,NP_049654.1,biological_process,NC_000866.4,AAA family ATPase,True,704,53
4745,AYD82636.1,biological_process,MH751506.1,helicase,True,704,53
